Lab,Clade,SVL,AG,ArmL,FingerL,LegL,ToeL,TailLength,Lamel4thF,Lamel4thT,Pores,CPE,CPPatt,TM,BGCol,PVL,PVSpots,FPVis,PoreArr,BIO_1,BIO_2,BIO_3,BIO_4,BIO_5,BIO_6,BIO_7,BIO_8,BIO_9,BIO_10,BIO_11,BIO_12,BIO_13,BIO_14,BIO_15,BIO_16,BIO_17,BIO_18,BIO_19,RESAMPELEV,mNDVI,sdNDVI,TREE,mLAI,sdLAI,Aclay,Athick,AKs,A_AWHC
CFO107,C_tuniluki,44.42,19.91,18.56,3.81,40.99,9.54,99,18,29,20.5,chest,mottled T,lines,brown-black,indistinct,bw,yes,knee,169,118,54,3603,293,75,218,123,214,215,123,498,66,14,42,193,61,63,193,64,4443.367675,797.49884,17.727272,8.379363,2.673634,30,0.3,8,129
CFO111,C_tuniluki,42.16,18.93,17.5,4.2,39.96,9.59,90,19,29,17,chest,mottled T,lines,brown-black,indistinct,bw,yes,knee,176,142,52,4576,329,57,272,125,232,235,118,339,39,13,27,107,58,58,107,84,3959.806396,659.335632,12.454545,6.740737,0.887112,5,0.3,9,145
CFO112,C_tuniluki,43.91,17.85,17.52,4.82,43.51,10.52,98,20,27,19.5,arms,mottled T,lines,brown-black,indistinct,bw,yes,knee,176,142,52,4576,329,57,272,125,232,235,118,339,39,13,27,107,58,58,107,84,3959.806396,659.335632,12.454545,6.740737,0.887112,5,0.3,9,145
CFO158,C_tuniluki,39.09,16.02,17.81,4.18,39.57,10.3,86,17,27,21,chest,mottled T,lines,brown-black,indistinct,bw,yes,knee,183,136,50,4695,332,63,269,131,240,243,123,287,36,13,26,92,52,54,82,40,2923.395263,733.250549,2.90909,3.793606,0.985807,30,0.3,8,129
CFO160,C_tuniluki,43.45,18.21,19.18,3.96,44.05,9.7,105,17,26,20,chest,mottled T,lines,brown-black,indistinct,bw,yes,knee,152,106,51,3294,271,64,207,110,195,195,110,722,103,23,42,290,87,87,290,70,6562.517578,1755.795776,12.545454,18.753519,12.164933,8,0.4,8,145
CFO161,C_tuniluki,41.88,17.16,17.22,3.77,38.8,10.08,87,19,30,19.5,chest,mottled irregular,lines,brown-black,indistinct,bw,no,knee,152,106,51,3294,271,64,207,110,195,195,110,722,103,23,42,290,87,87,290,70,6562.517578,1755.795776,12.545454,18.753519,12.164933,8,0.4,8,145
CFO189,C_tuniluki,48.54,21.53,19.64,5.07,45.46,11.31,108,17,30,18.5,chest,mottled irregular,lines,brown-black,clear,bw,yes,knee,178,141,50,4714,334,57,277,126,239,239,118,331,39,13,27,103,58,58,103,78,4201.007812,670.352478,21.454545,4.993198,0.964753,5,0.4,8,138
CFO92,C_tuniluki,48.62,20.82,19.76,4.98,46.22,11.67,116,18,30,19,chest,mottled T,lines,brown-black,indistinct,bw,yes,knee,183,136,50,4695,332,63,269,131,240,243,123,287,36,13,26,92,52,54,82,38,4153.031738,561.84906,19.363636,3.793606,0.985807,30,0.3,8,129
CFO168,C_kartiwarru,48,20.71,18.61,4.45,49.22,11.7,132,21,37,15,arms,block,unclear chevron,red-orange,indistinct,bw,weak,mid leg,221,137,43,6238,380,66,314,299,224,299,139,189,26,11,30,58,36,58,40,104,1720.359619,209.879699,0,2.008621,0.322188,20,0.25,8,138
CFO169,C_kartiwarru,50.53,24.06,20.29,5.06,51.48,11.13,128.5,20,35,16,arms,block,unclear chevron,red-orange,clear,bw,weak,mid leg,221,137,43,6238,380,66,314,299,224,299,139,189,26,11,30,58,36,58,40,104,1720.359619,209.879699,0,2.008621,0.322188,20,0.25,8,138
CFO195,C_kartiwarru,50.15,21.42,19.3,4.98,53.57,12.72,137,18,34,15.5,arms,block,unclear chevron,red-orange,clear,bw,weak,mid leg,211,135,43,5962,369,60,309,250,147,286,133,232,35,10,41,90,33,73,34,78,1804.604736,184.121246,0.090909,2.162909,0.330968,30,0.3,8,129
CFO196,C_kartiwarru,50.17,22.61,20.19,4.23,46.92,11.95,125,15,29,12.5,arms,block,absent,red-orange,clear,bw,weak,mid leg,211,135,43,5962,369,60,309,250,147,286,133,232,35,10,41,90,33,73,34,78,1804.604736,184.121246,0.090909,2.162909,0.330968,30,0.3,8,129
CFO44,C_kartiwarru,48.13,21.47,19.28,4.63,49.33,11.77,125,17,32,14,chest,block,mottled,red-orange,indistinct,bw,weak,mid leg,200,132,44,5541,356,60,296,236,128,270,128,269,35,16,26,89,52,66,52,52,2478.162109,369.990844,1.272727,2.836014,0.822045,20,0.2,9,147
CFO45,C_kartiwarru,54.01,23.67,21.34,4.38,53.61,12.68,141,21,34,14,chest,block,absent,red-orange,indistinct,bw,weak,mid leg,200,132,44,5541,356,60,296,236,128,270,128,269,35,16,26,89,52,66,52,52,2478.162109,369.990844,1.272727,2.836014,0.822045,20,0.2,9,147
CFO88,C_kartiwarru,45.1,18.89,18.87,4.58,48.41,12.81,115,20,34,12.5,arms,block,mottled,red-orange,indistinct,black,weak,mid leg,221,136,42,6266,378,61,317,262,138,299,138,223,41,8,54,97,25,82,25,24,1546.343872,213.874618,0,1.684529,0.493428,30,0.3,8,129
CFO14,C_fordi,49.97,20.86,19.69,4.69,49.09,12.54,129,21,35,19.5,arms,diamond,unclear chevron,orange-brown,indistinct,bw,weak,mid leg,212,127,42,5922,365,63,302,175,216,286,132,281,45,13,38,93,41,73,84,407,2966.822021,444.143157,6.272727,3.288495,0.658457,5,0.4,9,153
CFO15,C_fordi,51.91,20.58,21.6,4.83,49.44,12.05,133,19,33,15.5,arms,diamond,unclear chevron,orange-brown,indistinct,black,weak,knee,212,127,42,5922,365,63,302,175,216,286,132,281,45,13,38,93,41,73,84,407,2966.822021,444.143157,6.272727,3.288495,0.658457,5,0.4,9,153
CFO19,C_fordi,38.68,16.8,17.36,4.75,36.92,10.68,82,20,33,20.5,arms,block,unclear chevron,orange-brown,indistinct,bw,no,knee,211,126,42,5891,364,64,300,174,215,285,131,280,45,13,36,93,43,70,85,382,2900.462402,345.245513,7.181818,3.093388,0.490482,30,0.1,7,128
CFO22,C_fordi,40.94,17.65,18.11,4.87,44.95,11.41,98,19,31,28,arms,diamond,unclear chevron,orange-brown,indistinct,bw,weak,thigh,211,126,42,5891,364,64,300,174,215,285,131,280,45,13,36,93,43,70,85,382,2900.462402,345.245513,7.181818,3.093388,0.490482,30,0.1,7,128
