species,HYP_0,HYP_1,HYP_2,HYP_3,HYP_4,HYP_5,HYP_6,HYP_7,HYP_8,HYP_9
albofasciolatus,smithii,smithii,hulk,smithii,hulk,albofasciolatus,albofasciolatus,smithii,hulk,albomaculatus
albofasciolatus,smithii,smithii,hulk,smithii,hulk,albofasciolatus,albofasciolatus,smithii,hulk,albomaculatus
albofasciolatus,smithii,smithii,hulk,smithii,hulk,albofasciolatus,albofasciolatus,smithii,hulk,albomaculatus
albomaculatus,smithii,smithii,hulk,hulk,smithii,smithii,hulk,albomaculatus,albomaculatus,albomaculatus
albomaculatus,smithii,smithii,hulk,hulk,smithii,smithii,hulk,albomaculatus,albomaculatus,albomaculatus
albomaculatus,smithii,smithii,hulk,hulk,smithii,smithii,hulk,albomaculatus,albomaculatus,albomaculatus
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
hulk,smithii,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk,hulk
