species,SVL,HH,HL,HW,IN,IO,TD,EE,NE,SE,OD,FL,CL,AG,TW,SL,IS,IL,FS,CS,MB,PVT,LRT,VS,TL1,TL4,iris color,thin nuchal band,dark nuc band-eye,wht ocelli ,drk on body
albofasciolatus,151.2,15.8,41.3,28.7,4.3,7.6,5.1,11.3,13.2,18.3,10.3,18.3,23.9,66.8,13.2,15,5,13,22,7,103,18,11,30,14,18,green,absent,absent,small,absent
albofasciolatus,147.6,16.7,40.5,27.9,4.3,8.6,5.4,11.7,12.1,16.7,10.1,18.6,24.7,67.3,11.9,13,5,11,21,6,94,16,10,25,16,20,green,absent,absent,small,absent
albofasciolatus,144.4,15,41.5,25.8,3.9,8.1,4.3,12,12.5,16.8,10.3,18.1,22.7,68.5,11.9,14,6,11,24,7,95,20,10,33,17,22,green,absent,absent,small,absent
albomaculatus,146.6,16.5,42.7,27.6,3.9,8.5,5.7,11.7,13.1,18.2,11.4,17.1,21,62.7,12.5,16,5,14,26,8,103,18,11,33,15,19,green,present,present,large,absent
albomaculatus,148.1,15.7,40.2,27.7,4.4,8.7,5.8,11.2,11.8,17.1,10.6,17.6,24,69.7,13.5,14,4,12,20,7,101,20,10,31,14,17,green,present,present,large,absent
albomaculatus,145.5,16.3,41.7,27.4,4.9,8.6,4.1,11.9,13.1,17.5,10.7,18.6,26.4,70.8,12.7,13,5,11,22,7,100,19,10,30,16,19,green,present,present,large,absent
hulk,143.5,15.9,40.2,27.1,3.7,8.6,5.7,11.4,12.1,16.6,11,16.9,21.7,72,11.8,14,5,9,20,8,191,19,11,32,16,20,turquoise,absent,absent,small,absent
hulk,143,14.9,39.5,25.4,3.7,8.2,4.5,10.8,11.7,16.3,9.7,18.9,22.2,70.5,13.3,13,4,11,18,6,102,18,10,29,15,19,turquoise,absent,absent,small,absent
hulk,116.4,11.9,34.3,21.2,3.4,7.2,4.1,8.9,11.2,13.5,9.7,15.3,19.1,58.4,10.5,13,5,11,19,5,105,16,11,26,18,22,turquoise,absent,absent,small,absent
hulk,67.1,7.3,20.5,12.6,2.3,4.5,2.7,4.9,6.2,8.3,4.7,7.8,9.8,33.4,4.8,10,4,10,13,4,89,19,9,23,16,20,turquoise,absent,absent,small,absent
hulk,61.2,6.1,19.5,11.8,2.3,4.9,2.4,4.4,5.1,7.4,5.1,8,9.6,32,4.6,13,4,10,20,5,87,19,10,26,15,19,turquoise,absent,absent,small,absent
hulk,151.5,16.8,43,30.7,3.5,8,4.3,12.9,13.7,17.8,10.5,20,23.5,75.3,14.3,13,4,10,21,7,95,19,11,30,14,18,turquoise,absent,absent,small,absent
hulk,56.9,6.4,17.9,11.3,1.1,3.7,2,3.6,4.9,6.7,5.3,7,9,27.9,3.1,13,4,10,18,6,84,18,10,24,16,20,turquoise,absent,absent,small,absent
hulk,54.6,5.3,17.1,10.6,1.8,4,2.2,3.8,4.4,6.7,4.9,7.1,8.9,26.1,3,14,4,11,24,5,89,18,10,23,16,21,turquoise,absent,absent,small,absent
hulk,149.2,14.3,42.4,27.8,4.3,8.7,6.2,11.8,13,18,10.8,20,22.9,77.5,15.2,14,5,12,21,5,104,18,10,22,17,21,turquoise,absent,absent,small,absent
hulk,161.3,15,44.2,28.1,4.4,9.7,7,13.8,13.4,18.4,10.3,21,25.3,81.3,12.9,14,4,11,18,6,95,18,10,26,16,20,turquoise,absent,absent,small,absent
hulk,157.2,16.7,41.1,28.6,4.4,9,4.5,10.9,12.6,17.9,11.4,20.2,25.6,75.7,16.7,12,4,10,18,5,91,17,10,21,16,21,turquoise,absent,absent,small,absent
hulk,147.5,15.9,41.7,27.2,3.7,8.2,6.3,10.8,12.2,16.9,11,19.8,23.8,75.8,12.8,12,3,10,18,6,110,17,10,25,15,19,turquoise,absent,absent,small,absent
hulk,141.2,15.3,39.9,26.2,3.6,9.4,5.1,10,13,16.4,11.2,14.3,22.3,67.8,13.1,15,4,13,18,6,90,16,9,22,18,22,turquoise,absent,absent,small,absent
hulk,158.4,16.9,44,28.3,3.7,9.6,5.2,12.4,14.7,18.1,11.3,19.7,25.2,77.4,14.5,14,3,12,19,7,98,19,11,27,17,21,turquoise,absent,absent,small,absent
hulk,146.5,16.3,39.8,27.2,3.6,9.7,5,10,12.2,17.3,11.3,19.6,24.2,71.1,15.3,14,4,12,21,6,109,19,10,23,19,24,turquoise,absent,absent,small,absent
hulk,117,11.9,33.3,21.1,3.3,7.3,4.5,11.9,10.8,13.6,9,15.4,19.1,58.8,10.2,13,5,11,17,7,106,21,11,26,17,21,turquoise,absent,absent,small,absent
hulk,149.9,15.9,41.3,27.1,4.3,8.3,5.3,12.9,12.3,16.9,10.5,19.3,26.2,72.7,14.6,14,5,11,18,6,105,19,10,27,15,19,turquoise,absent,absent,small,absent
hulk,121.4,12.9,35.7,20.8,3.8,7.2,5.3,10.2,10.9,15.1,9.2,16.8,21.1,60.9,11.3,14,4,11,21,7,108,21,11,32,17,21,turquoise,absent,absent,small,absent
hulk,122.6,13.8,36.2,23.1,3.3,8.3,5,10.2,11.9,15.4,9.6,17.6,20.8,60.3,10.8,13,4,11,22,7,91,21,11,22,16,21,turquoise,absent,absent,small,absent
hulk,149,16.6,42.4,25.9,3.6,8.9,5.3,12.2,12.4,16.7,10.3,18.7,24.8,70,13.7,15,5,12,20,5,91,20,10,21,16,20,turquoise,absent,absent,small,absent
hulk,136.8,12.7,38.5,25,3.5,6.9,4.6,9.9,11.1,15.1,10.6,17,22.6,68,11.5,15,5,13,21,6,107,17,10,42,18,22,turquoise,absent,absent,small,absent
