species,SL,IS,IL,FS,CS,MB,PVT,LRT,VS,TL1,TL4
albofasciolatus,15,5,13,22,7,103,18,11,30,14,18
albofasciolatus,13,5,11,21,6,94,16,10,25,16,20
albofasciolatus,14,6,11,24,7,95,20,10,33,17,22
albomaculatus,16,5,14,26,8,103,18,11,33,15,19
albomaculatus,14,4,12,20,7,101,20,10,31,14,17
albomaculatus,13,5,11,22,7,100,19,10,30,16,19
hulk,14,5,9,20,8,191,19,11,32,16,20
hulk,13,4,11,18,6,102,18,10,29,15,19
hulk,13,5,11,19,5,105,16,11,26,18,22
hulk,10,4,10,13,4,89,19,9,23,16,20
hulk,13,4,10,20,5,87,19,10,26,15,19
hulk,13,4,10,21,7,95,19,11,30,14,18
hulk,13,4,10,18,6,84,18,10,24,16,20
hulk,14,4,11,24,5,89,18,10,23,16,21
hulk,14,5,12,21,5,104,18,10,22,17,21
hulk,14,4,11,18,6,95,18,10,26,16,20
hulk,12,4,10,18,5,91,17,10,21,16,21
hulk,12,3,10,18,6,110,17,10,25,15,19
hulk,15,4,13,18,6,90,16,9,22,18,22
hulk,14,3,12,19,7,98,19,11,27,17,21
hulk,14,4,12,21,6,109,19,10,23,19,24
hulk,13,5,11,17,7,106,21,11,26,17,21
hulk,14,5,11,18,6,105,19,10,27,15,19
hulk,14,4,11,21,7,108,21,11,32,17,21
hulk,13,4,11,22,7,91,21,11,22,16,21
hulk,15,5,12,20,5,91,20,10,21,16,20
hulk,15,5,13,21,6,107,17,10,42,18,22
hulk,13,4,11,19,8,104,17,9,27,19,23
hulk,13,5,11,18,6,101,19,10,24,16,20
hulk,12,5,10,21,6,98,18,10,25,17,21
hulk,12,4,10,17,6,98,18,11,27,16,20
hulk,13,4,11,18,6,102,17,10,24,17,21
hulk,13,4,11,17,6,99,17,10,25,16,20
hulk,13,4,11,20,5,106,18,10,27,15,19
hulk,13,5,11,21,7,109,19,10,28,17,21
hulk,14,4,12,19,6,106,17,10,26,17,22
hulk,14,4,12,23,6,96,17,10,24,19,22
hulk,13,5,11,20,7,95,18,9,23,16,20
hulk,13,4,11,20,5,102,18,10,26,18,22
hulk,14,3,12,22,6,104,18,10,25,16,21
hulk,14,4,12,21,6,100,20,10,24,17,21
hulk,14,4,11,19,6,98,19,10,27,17,21
hulk,13,4,10,22,6,104,21,10,23,17,20
hulk,13,4,10,15,7,92,18,10,26,19,23
hulk,13,4,11,21,5,101,19,11,29,19,22
smithii,15,4,12,24,7,94,19,9,33,16,19
smithii,13,4,10,26,6,109,18,10,30,17,20
smithii,13,3,11,25,7,114,17,10,26,16,19
smithii,12,4,9,23,7,101,18,9,29,17,21
smithii,13,3,11,19,4,100,22,9,31,18,20
smithii,12,3,11,19,7,110,23,10,30,20,23
smithii,13,5,10,19,6,132,23,9,32,20,23
smithii,11,5,10,21,7,126,22,8,30,20,24
smithii,15,5,13,24,6,113,19,10,27,18,22
smithii,15,5,12,24,7,104,20,10,24,17,22
smithii,14,5,11,21,8,121,21,9,35,17,21
smithii,15,4,13,25,8,104,18,10,25,18,22
smithii,14,5,11,22,7,123,17,10,29,18,21
smithii,17,5,14,25,8,119,19,10,30,18,21
smithii,14,4,12,22,7,109,18,10,29,17,20
smithii,14,5,11,25,8,107,18,10,23,19,23
smithii,16,5,14,23,6,103,18,10,23,20,24
smithii,15,5,12,21,7,107,17,9,28,19,23
smithii,15,4,12,19,5,119,17,10,28,16,21
smithii,14,4,12,22,6,116,18,10,34,17,22
smithii,12,4,10,23,6,111,18,11,32,16,20
smithii,15,5,12,24,9,108,21,10,28,18,23
